#num-states,num-transitions,type-size,probability-indeterminate,subset,overlap,non-trivial-overlap
2,2,2,0.09063373570588984,true,false,false
2,2,2,0.11468065488994532,true,true,true
2,2,2,0.17011893791035482,true,true,true
2,2,2,0.23904404127105006,true,true,true
2,2,2,0.2773690276793093,true,false,false
2,2,2,0.31409548868793985,true,false,false
2,2,2,0.34059863927605855,true,:dont-know,:dont-know
2,2,2,0.3451731922180166,true,:dont-know,:dont-know
2,2,2,0.37602573746582507,true,false,false
2,2,2,0.38586083858474024,true,:dont-know,:dont-know
2,2,2,0.39562787741167527,true,:dont-know,:dont-know
2,2,2,0.41418831252297056,true,:dont-know,:dont-know
2,2,2,0.42436996944550015,true,:dont-know,:dont-know
2,2,2,0.4245834009675029,true,:dont-know,:dont-know
2,2,2,0.4770794042285096,true,false,false
2,2,2,0.5664162015853177,true,false,false
2,2,2,0.6093674206634099,true,true,true
2,2,3,0.057184803370323646,true,true,true
2,2,3,0.13984379831111896,true,true,true
2,2,3,0.15659090893688307,true,false,false
2,2,3,0.16318401290746556,true,true,true
2,2,3,0.1888024611936048,true,:dont-know,:dont-know
2,2,3,0.20855119326556557,true,:dont-know,:dont-know
2,2,3,0.2567053816495826,true,:dont-know,:dont-know
2,2,3,0.26306585828391077,true,false,false
2,2,3,0.2718826222982818,true,true,true
2,2,3,0.274964055356459,true,true,true
2,2,3,0.2805252001902872,true,:dont-know,:dont-know
2,2,3,0.3524368786021248,true,true,true
2,2,3,0.3911971807305547,true,false,false
2,2,3,0.3957703948314813,true,false,false
2,2,3,0.4209757708174307,true,:dont-know,:dont-know
2,2,3,0.42483795981876876,true,false,false
2,2,3,0.4566495972237203,true,true,true
2,2,3,0.5495954917942248,true,:dont-know,:dont-know
2,2,3,0.5519091478981264,true,:dont-know,:dont-know
2,2,4,0.12871148954354572,true,false,false
2,2,4,0.2149567735048995,true,false,false
2,2,4,0.23167685513049496,true,true,true
2,2,4,0.24784548249352387,true,false,false
2,2,4,0.2617941881766868,true,:dont-know,:dont-know
2,2,4,0.27066319594729277,true,true,true
2,2,4,0.2986885436315107,true,true,true
2,2,4,0.30764334741560573,true,true,true
2,2,4,0.30902879105455977,true,true,true
2,2,4,0.3195677062400688,true,:dont-know,:dont-know
2,2,4,0.32500235144324935,true,:dont-know,:dont-know
2,2,4,0.35080559243458476,true,:dont-know,:dont-know
2,2,4,0.3715322737197216,true,true,true
2,2,4,0.38894813151199065,true,:dont-know,:dont-know
2,2,4,0.394395785361677,true,:dont-know,:dont-know
2,2,4,0.4406392322394536,true,true,true
2,2,4,0.462718767239445,true,true,true
2,2,4,0.5291768154672046,true,false,false
2,3,2,0.06269461845782438,false,true,true
2,3,2,0.08405148383408152,true,true,true
2,3,2,0.09521134083585144,false,false,false
2,3,2,0.1091608118867321,false,true,true
2,3,2,0.15918130124668564,false,true,true
2,3,2,0.19785235283614397,true,:dont-know,:dont-know
2,3,2,0.19888724716526374,true,true,true
2,3,2,0.22436471424545393,false,false,false
2,3,2,0.2382420142341416,false,false,false
2,3,2,0.24789705395512293,true,true,true
2,3,2,0.26444023532379296,false,:dont-know,:dont-know
2,3,2,0.2842549097175115,:dont-know,:dont-know,:dont-know
2,3,2,0.2862470568503045,:dont-know,true,true
2,3,2,0.30106104674468087,true,false,false
2,3,2,0.30126390320480084,true,true,true
2,3,2,0.31655442744044443,:dont-know,true,true
2,3,2,0.3283947240651653,false,false,false
2,3,2,0.3422331570299422,false,false,false
2,3,2,0.3457714344147605,true,false,false
2,3,2,0.36072388657003024,true,true,true
2,3,2,0.3609300283477544,:dont-know,true,true
2,3,2,0.36710024202441494,true,true,true
2,3,2,0.3672690414936643,true,true,true
2,3,2,0.3698142428355296,:dont-know,:dont-know,:dont-know
2,3,2,0.39356685213809045,:dont-know,true,true
2,3,2,0.41036375767733846,false,true,true
2,3,2,0.416049163469473,:dont-know,:dont-know,:dont-know
2,3,2,0.4214255818163672,:dont-know,:dont-know,:dont-know
2,3,2,0.42799471418060026,:dont-know,false,false
2,3,2,0.45742276980881086,:dont-know,:dont-know,:dont-know
2,3,2,0.4626110270003361,:dont-know,:dont-know,:dont-know
2,3,2,0.46437519566901586,true,:dont-know,:dont-know
2,3,2,0.4666039725977389,:dont-know,:dont-know,:dont-know
2,3,2,0.47674796029767813,false,false,false
2,3,2,0.49561339136225263,:dont-know,:dont-know,:dont-know
2,3,2,0.49880986887435363,:dont-know,false,false
2,3,2,0.5443109294566416,true,:dont-know,:dont-know
2,3,2,0.5636976998163553,false,true,true
2,3,2,0.5708889549422757,:dont-know,:dont-know,:dont-know
2,3,2,0.5711861554688564,:dont-know,:dont-know,:dont-know
2,3,2,0.5914229956953603,:dont-know,:dont-know,:dont-know
2,3,3,0.0853404725631652,true,false,false
2,3,3,0.11543652737010053,true,false,false
2,3,3,0.18595132224691538,false,true,true
2,3,3,0.18866119201946266,true,:dont-know,:dont-know
2,3,3,0.20056371110694535,:dont-know,true,true
2,3,3,0.20620999347386923,true,true,true
2,3,3,0.21074770662962009,true,:dont-know,:dont-know
2,3,3,0.22454600260783705,false,true,true
2,3,3,0.2246456765231747,true,:dont-know,:dont-know
2,3,3,0.2567082206962542,true,true,true
2,3,3,0.2611437167271103,:dont-know,true,true
2,3,3,0.28557037052795464,false,true,true
2,3,3,0.28683404998942624,false,true,true
2,3,3,0.2903294176697489,true,:dont-know,:dont-know
2,3,3,0.2944353023322403,true,:dont-know,:dont-know
2,3,3,0.2961942805981171,false,:dont-know,:dont-know
2,3,3,0.3057164247900205,true,false,false
2,3,3,0.31042634409686337,true,true,true
2,3,3,0.3206105503232181,:dont-know,:dont-know,:dont-know
2,3,3,0.3378953904393649,:dont-know,false,false
2,3,3,0.34135492673549894,:dont-know,:dont-know,:dont-know
2,3,3,0.34204803364635916,true,true,true
2,3,3,0.35964188646051926,:dont-know,false,false
2,3,3,0.36979030128104534,:dont-know,:dont-know,:dont-know
2,3,3,0.3813027764075197,false,true,true
2,3,3,0.38345128946864887,:dont-know,:dont-know,:dont-know
2,3,3,0.39732131040961005,false,false,false
2,3,3,0.42799690392029976,:dont-know,:dont-know,:dont-know
2,3,3,0.4293275220149508,:dont-know,:dont-know,:dont-know
2,3,3,0.4383711816144818,true,false,false
2,3,3,0.45211521631143786,false,:dont-know,:dont-know
2,3,3,0.45265311405436,true,false,false
2,3,3,0.4542856584860889,:dont-know,:dont-know,:dont-know
2,3,3,0.4654668930741062,false,:dont-know,:dont-know
2,3,3,0.46955577329885806,:dont-know,:dont-know,:dont-know
2,3,3,0.49514709424829323,:dont-know,true,true
2,3,3,0.5045081972386917,false,true,true
2,3,3,0.515390680227437,true,false,false
2,3,3,0.5389045249659072,true,false,false
2,3,3,0.6194688204730059,true,false,false
2,3,4,0.014033710948006392,false,true,true
2,3,4,0.035492794673306315,true,true,true
2,3,4,0.08531335435704517,:dont-know,true,true
2,3,4,0.09644092777663853,false,false,false
2,3,4,0.10859472586806766,true,false,false
2,3,4,0.14508258916642222,true,:dont-know,:dont-know
2,3,4,0.17671172249361733,true,true,true
2,3,4,0.20394228672832082,false,true,true
2,3,4,0.2133169281273765,false,false,false
2,3,4,0.21784736649842776,true,true,true
2,3,4,0.24534813885381448,true,true,true
2,3,4,0.25210018059070594,true,:dont-know,:dont-know
2,3,4,0.27434901625122116,:dont-know,:dont-know,:dont-know
2,3,4,0.28114296422781954,:dont-know,:dont-know,:dont-know
2,3,4,0.28370611867198686,true,true,true
2,3,4,0.29308916315204453,:dont-know,false,false
2,3,4,0.29540755250415857,true,true,true
2,3,4,0.32547899413018416,:dont-know,:dont-know,:dont-know
2,3,4,0.3419700975246842,true,true,true
2,3,4,0.3560805398319797,:dont-know,true,true
2,3,4,0.36118329518703174,true,false,false
2,3,4,0.36869974339371064,true,false,false
2,3,4,0.38475156815813866,false,:dont-know,:dont-know
2,3,4,0.4044268893717633,true,true,true
2,3,4,0.4074792008799313,false,true,true
2,3,4,0.4235399289776683,:dont-know,:dont-know,:dont-know
2,3,4,0.4353857199002989,true,true,true
2,3,4,0.45205834344022405,true,:dont-know,:dont-know
2,3,4,0.45797033578209256,:dont-know,:dont-know,:dont-know
2,3,4,0.46400158512594897,true,false,false
2,3,4,0.4808007298466184,:dont-know,:dont-know,:dont-know
2,3,4,0.4854523413649902,:dont-know,true,true
2,3,4,0.5239010227319494,true,:dont-know,:dont-know
2,3,4,0.5511881472879628,false,:dont-know,:dont-know
2,3,4,0.5571791686990005,false,false,false
2,3,4,0.5968003462615742,false,false,false
2,4,2,0.1352696190281546,false,true,true
2,4,2,0.16859679758307355,:dont-know,:dont-know,:dont-know
2,4,2,0.17523786963469434,false,true,true
2,4,2,0.19474609710706192,true,true,true
2,4,2,0.34126981362459335,true,:dont-know,:dont-know
2,4,2,0.36054728675660286,:dont-know,:dont-know,:dont-know
2,4,2,0.36296624751741846,:dont-know,:dont-know,:dont-know
2,4,2,0.3695539605197246,true,true,true
2,4,2,0.3952646458745532,:dont-know,:dont-know,:dont-know
2,4,2,0.4152782339140875,:dont-know,:dont-know,:dont-know
2,4,2,0.4158155914064952,true,true,true
2,4,2,0.429154371737177,:dont-know,true,true
2,4,2,0.46187310761330846,false,false,false
2,4,2,0.49021879920940153,true,:dont-know,:dont-know
2,4,2,0.5232940284472444,false,true,true
2,4,3,0.04423958361630594,false,true,true
2,4,3,0.0675451107314381,false,true,true
2,4,3,0.13395798318957497,false,false,false
2,4,3,0.13874715725212539,true,true,true
2,4,3,0.16309513947177925,true,false,false
2,4,3,0.21680525270346382,false,true,true
2,4,3,0.2195254290961719,false,true,true
2,4,3,0.22735720944543422,:dont-know,false,false
2,4,3,0.25836773480953223,false,:dont-know,:dont-know
2,4,3,0.2603705865659402,false,false,false
2,4,3,0.26326585154556875,:dont-know,:dont-know,:dont-know
2,4,3,0.2649519370357229,false,:dont-know,:dont-know
2,4,3,0.31091623559945886,false,true,true
2,4,3,0.31720335430774516,:dont-know,:dont-know,:dont-know
2,4,3,0.4261502221835487,true,true,true
2,4,3,0.4325152731515285,false,false,false
2,4,3,0.5201381966875489,true,true,true
2,4,3,0.5842048743563297,:dont-know,false,false
2,4,3,0.6165175288811656,:dont-know,false,false
2,4,4,0.12452450754273088,true,true,true
2,4,4,0.19932161901904444,false,false,false
2,4,4,0.28064160525926574,false,false,false
2,4,4,0.3025283733953614,:dont-know,:dont-know,:dont-know
2,4,4,0.30810760894886996,:dont-know,:dont-know,:dont-know
2,4,4,0.36919502747755756,false,true,true
2,4,4,0.39897747242110304,true,true,true
2,4,4,0.409515320769623,true,:dont-know,:dont-know
2,4,4,0.42840648188203395,true,:dont-know,:dont-know
2,4,4,0.44032991771320334,:dont-know,:dont-know,:dont-know
2,4,4,0.5512792872888814,true,:dont-know,:dont-know
2,4,4,0.5675354139400131,:dont-know,false,false
2,4,4,0.6312391257073948,:dont-know,false,false
3,3,2,0.0944476674785718,true,true,true
3,3,2,0.12508830294228954,true,true,true
3,3,2,0.22926375480468827,true,:dont-know,:dont-know
