71,36,2,2,1,2,3,10,1
71,37,4,6,4,6,3,11,3
71,38,6,9,4,9,3,10,17
75,39,4,5,4,5,2,12,2
77,40,2,2,1,2,3,13,1
77,40,5,7,5,7,3,12,4
77,41,2,2,1,2,2,10,6
79,40,3,4,3,4,3,13,6
79,42,15,43,8,43,4,12,200
79,42,5,10,5,10,3,11,45
79,43,4,7,4,7,3,11,170
81,42,15,53,7,53,4,14,24
81,42,2,2,2,2,4,11,2
81,42,3,4,3,4,2,12,6
81,43,2,2,2,2,3,13,1
82,45,2,2,1,2,3,10,0
82,45,3,4,3,4,2,11,42
83,42,2,2,2,2,4,14,0
83,43,4,6,4,6,4,15,4
83,44,3,4,3,4,3,13,16
83,46,2,2,1,2,3,10,0
83,47,4,6,4,6,3,11,2
83,48,2,2,1,2,5,11,2
84,45,19,47,11,47,4,15,12
85,43,5,8,5,8,3,15,6
85,43,8,15,8,15,3,16,9
85,44,9,14,5,14,6,14,50
85,45,3,4,1,4,3,13,11
85,45,3,4,3,4,3,14,3
85,46,3,3,3,3,4,12,46
85,48,4,6,4,6,3,11,6
85,48,9,15,8,15,3,13,26
86,49,7,12,6,12,3,10,37
87,50,3,3,3,3,3,10,60
87,50,5,10,5,10,3,10,79
88,48,3,3,3,3,3,11,43
89,45,2,2,2,2,3,14,2
89,47,3,3,3,3,3,12,33
89,49,3,4,3,4,3,12,3
89,50,3,4,3,4,3,11,3
89,50,7,13,7,13,3,12,23
89,51,2,2,1,2,3,12,1
89,51,3,4,3,4,3,11,6
90,49,3,4,3,4,3,13,6
90,50,7,13,7,13,3,12,15
90,52,2,2,1,2,2,13,6
90,53,7,12,7,12,3,11,14
91,47,4,5,4,5,4,15,12
91,48,2,2,2,2,3,13,0
91,50,4,10,4,10,3,12,8
91,50,5,7,4,7,3,13,85
91,51,3,4,3,4,3,10,4
91,52,3,4,3,4,2,12,7
92,49,6,9,4,9,3,13,160
92,49,883,9169,321,9169,4,15,11766
92,51,4,8,4,8,4,15,14
92,52,2,2,1,2,3,9,1
92,52,3,4,3,4,3,11,35
92,52,4,5,4,5,3,15,2
92,53,4,5,4,5,4,12,7
92,53,4,6,4,6,3,12,40
93,47,2,3,2,3,4,14,29
93,50,2,2,1,2,3,15,0
93,50,2,2,1,2,4,13,26
93,52,3,4,3,4,3,13,10
94,51,15,42,15,42,3,14,50
94,51,5,10,5,10,2,15,578
94,53,8,15,8,15,4,11,13
95,48,2,2,1,2,3,14,3
95,48,6,13,6,13,3,14,28
95,50,3,3,3,3,3,17,3
95,50,3,4,3,4,6,14,16
95,51,2,2,2,2,4,13,0
95,51,4,7,4,7,4,14,4
95,54,7,10,7,10,3,12,13
96,52,4,5,4,5,3,13,8
96,52,7,16,7,16,3,13,636
96,53,10,17,4,17,2,11,140
96,53,2,2,1,2,3,11,0
96,55,7,15,6,15,4,12,129
97,52,7,14,6,14,4,13,494
97,54,2,2,1,2,3,14,0
97,58,3,4,3,4,2,12,2
98,52,5,8,5,8,3,14,117
98,54,8,13,6,13,3,14,133
98,55,6,9,6,9,3,14,11
98,56,3,4,3,4,3,12,19
99,50,4,5,4,5,4,14,86
99,51,6,9,4,9,4,17,24
99,53,5,12,4,12,3,15,246
99,53,7,13,7,13,3,12,30
99,55,5,7,5,7,3,13,15
99,58,2,2,1,2,3,12,48
99,58,2,2,1,2,4,11,1
99,58,2,2,2,2,4,13,2
100,53,5,7,4,7,3,14,60
100,56,4,6,4,6,3,12,64
100,56,8,12,8,12,3,14,77
100,57,4,5,4,5,3,15,4
101,55,7,16,7,16,4,14,39
101,56,3,4,3,4,4,13,6
101,56,4,6,4,6,4,15,52
101,57,5,8,5,8,3,16,9
101,59,3,4,3,4,3,10,7
101,61,6,10,6,10,3,10,135
102,56,5,7,4,7,4,15,39
102,56,8,18,8,18,3,15,141
102,57,7,11,6,11,3,13,10
102,58,3,4,3,4,4,12,2
103,54,5,7,5,7,4,17,3
103,58,13,28,13,28,4,12,128
103,59,4,5,4,5,4,14,281
104,58,2,2,1,2,3,14,2
104,59,2,2,2,2,3,15,3
104,59,3,4,3,4,3,13,9
104,60,2,2,1,2,3,12,25
105,56,12,39,12,39,3,13,31
105,60,2,2,1,2,3,15,1
105,62,2,2,1,2,2,11,0
106,59,5,8,5,8,2,14,47
106,60,3,3,3,3,3,14,18
106,62,3,4,3,4,2,13,60
107,55,2,2,1,2,3,16,4
107,55,3,4,3,4,3,18,13
107,55,8,15,5,15,3,17,60
107,56,2,2,1,2,3,15,1
107,57,3,4,3,4,3,15,9
107,58,3,3,3,3,3,16,2
107,60,5,10,5,10,3,13,52
107,61,4,5,3,5,3,11,44
107,62,5,10,5,10,3,12,90
107,65,6,14,6,14,4,12,74
107,66,6,9,5,9,4,11,12
108,57,3,4,3,4,3,14,24
108,59,3,3,3,3,3,15,6
108,59,3,4,3,4,3,17,73
108,61,6,12,6,12,3,13,18
109,56,2,2,2,2,4,18,1
109,60,3,4,3,4,3,15,17
109,60,4,5,4,5,3,14,4
109,63,3,3,2,3,4,14,157
110,59,5,8,4,8,3,17,114
110,61,5,8,5,8,3,16,42
110,61,6,10,6,10,3,15,81
110,62,4,6,4,6,3,15,1
110,62,5,7,4,7,3,16,19
111,60,4,5,4,5,4,17,32
111,61,5,10,5,10,3,15,175
111,61,9,23,5,23,6,15,15
111,64,2,2,1,2,3,13,1
111,64,2,2,1,2,3,13,3
112,59,2,2,1,2,2,17,0
112,61,6,12,5,12,3,15,162
112,65,4,6,4,6,3,14,2
112,66,2,2,1,2,3,14,0
112,66,3,3,2,3,4,15,4
112,66,3,4,3,4,3,15,70
113,62,4,6,4,6,3,15,4
113,63,7,14,5,14,3,16,124
113,66,2,2,1,2,4,13,2
114,68,4,6,4,6,3,13,8
114,69,5,7,4,7,3,14,50
115,61,2,3,2,3,6,20,14
115,63,7,11,7,11,4,14,62
115,66,4,5,4,5,4,17,67
115,67,2,2,1,2,4,12,3
115,67,4,5,4,5,3,16,3
116,65,4,5,4,5,3,14,3
116,71,2,2,1,2,3,14,0
