# requested-depth, actual-depth, actual-leaf-count, max-balance, mean-balance, sigma-balance, minimized-depth, minimized-leaf-count, actual-state-count, minimized-state-count, minimized-rte
4, 10, 19, 8, 1.6521739, 2.2957180491207105, 0, 1, 2, 2, :empty-set
4, 10, 19, 8, 1.7083334, 2.2075470298249344, 0, 1, 2, 2, :empty-set
4, 10, 19, 8, 1.8695652, 2.289946796915425, 5, 30, 5, 5, :other
4, 10, 19, 8, 1.9130435, 2.1851881518485325, 1, 11, 3, 3, :other
4, 10, 19, 8, 2.0, 2.5298221281347035, 2, 3, 4, 4, :other
4, 10, 19, 8, 2.0454545, 2.3253010113506662, 0, 1, 3, 3, :other
4, 10, 19, 8, 2.047619, 2.2141577023928893, 18, 2732, 15, 19, :other
4, 10, 19, 8, 2.090909, 2.0650575802910085, 0, 1, 2, 2, :empty-set
4, 10, 19, 8, 2.142857, 2.4159335036125373, 0, 1, 2, 2, :empty-set
4, 10, 19, 8, 2.4761906, 2.402757297436736, 0, 1, 2, 2, :empty-set
4, 10, 19, 9, 1.875, 2.4206145913796355, 0, 1, 2, 2, :empty-set
4, 10, 19, 9, 1.9090909, 2.4846637034029904, 3, 5, 4, 4, :other
4, 10, 19, 9, 2.0952382, 2.4862433299441165, 0, 1, 2, 2, :empty-set
4, 10, 20, 5, 1.6538461, 1.7961991428977873, 0, 1, 2, 2, :empty-set
4, 10, 20, 5, 2.0, 1.8650096164806274, 0, 1, 2, 2, :empty-set
4, 10, 20, 6, 1.5769231, 1.9645527367880207, 3, 7, 5, 5, :other
4, 10, 20, 6, 1.7692307, 1.9076302719441915, 7, 26, 7, 5, :other
4, 10, 20, 6, 1.8636364, 2.180397264583901, 6, 22, 5, 5, :other
4, 10, 20, 6, 1.9565217, 2.1157434887993807, 5, 12, 7, 7, :other
4, 10, 20, 6, 2.1363637, 1.960877691829363, 0, 1, 2, 2, :empty-set
4, 10, 20, 7, 1.625, 2.057759704144291, 5, 65, 7, 6, :other
4, 10, 20, 7, 1.625, 2.306015683670285, 0, 1, 2, 2, :empty-set
4, 10, 20, 7, 1.64, 2.170345594600086, 0, 1, 2, 2, :empty-set
4, 10, 20, 7, 1.72, 1.9701776569639602, 0, 1, 5, 2, :empty-set
4, 10, 20, 7, 1.9047619, 2.2657861434991085, 4, 13, 7, 7, :other
4, 10, 20, 7, 1.9545455, 2.1841843230425386, 0, 1, 2, 2, :empty-set
4, 10, 20, 7, 1.9565217, 2.1157434887993807, 0, 1, 2, 2, :empty-set
4, 10, 20, 7, 2.2380953, 2.13596776114341, 0, 1, 2, 2, :empty-set
4, 10, 20, 8, 1.3571428, 2.108050651910529, 5, 6, 4, 4, :other
4, 10, 20, 8, 1.6666666, 2.173067468400883, 2, 5, 5, 5, :other
4, 10, 20, 8, 1.875, 2.315032397181517, 0, 1, 2, 2, :empty-set
4, 10, 20, 8, 1.9090909, 2.213781029433804, 0, 1, 2, 2, :empty-set
4, 10, 20, 8, 2.0, 2.3219182474467286, 0, 1, 2, 2, :empty-set
4, 10, 20, 8, 2.2, 2.5219040425836985, 0, 1, 3, 3, :other
4, 10, 20, 8, 2.2105262, 2.2379254342599264, 0, 1, 2, 2, :empty-set
4, 10, 20, 8, 2.2173913, 2.3022960512823873, 0, 1, 2, 2, :empty-set
4, 10, 20, 9, 1.4444444, 2.1314806770278754, 1, 5, 3, 3, :other
4, 10, 20, 9, 1.7083334, 2.2449789655040324, 9, 27, 10, 10, :other
4, 10, 20, 9, 1.7777778, 2.199887763691481, 5, 17, 7, 4, :other
4, 10, 21, 5, 1.7692307, 1.9076302719441915, 2, 5, 4, 3, :other
4, 10, 21, 6, 1.4814814, 1.8332398030762342, 3, 3, 4, 4, :other
4, 10, 21, 6, 1.6, 1.833030277982336, 7, 101, 10, 10, :other
4, 10, 21, 6, 1.88, 1.8829763673503712, 0, 1, 2, 2, :empty-set
4, 10, 21, 6, 2.0454545, 1.894424180379519, 0, 1, 3, 3, :other
4, 10, 21, 7, 1.3793104, 1.9549017631804644, 5, 6, 4, 4, :other
4, 10, 21, 7, 1.4230769, 2.133488961285948, 3, 7, 6, 6, :other
4, 10, 21, 7, 1.6521739, 2.351848406312786, 1, 2, 3, 3, :other
4, 10, 21, 7, 1.6666666, 2.173067468400883, 0, 1, 2, 2, :empty-set
4, 10, 21, 7, 1.7083334, 2.0712147536060947, 0, 1, 2, 2, :empty-set
4, 10, 21, 7, 1.7307693, 2.085807209685577, 2, 2, 3, 3, :other
4, 10, 21, 7, 1.75, 2.184223737013526, 0, 1, 2, 2, :empty-set
4, 10, 21, 7, 1.8695652, 2.049482391198726, 3, 5, 4, 4, :other
4, 10, 21, 7, 1.875, 2.278751485645886, 3, 6, 5, 5, :other
4, 10, 21, 7, 1.9565217, 1.8528065871880448, 0, 1, 3, 3, :other
4, 10, 21, 7, 2.0, 2.2038926600773587, 0, 1, 2, 2, :empty-set
4, 10, 21, 7, 2.0434783, 1.9219161830695952, 0, 1, 2, 2, :empty-set
4, 10, 21, 7, 2.090909, 2.172327844608822, 2, 6, 4, 4, :other
4, 10, 21, 8, 1.5769231, 2.2217989406209506, 0, 1, 2, 2, :empty-set
4, 10, 21, 8, 1.64, 1.957140771636011, 13, 150, 10, 10, :other
4, 10, 21, 8, 1.8, 2.172556098240043, 1, 2, 4, 4, :other
4, 10, 21, 8, 1.8461539, 2.142828965720634, 0, 1, 2, 2, :empty-set
4, 10, 21, 8, 1.9130435, 2.145025458007654, 1, 2, 4, 4, :other
4, 10, 21, 8, 2.0, 2.1669453555438456, 7, 14, 4, 4, :other
4, 10, 21, 9, 1.5769231, 2.2044199816780154, 0, 1, 3, 3, :sigma
4, 10, 21, 9, 1.625, 2.4292059745247347, 0, 1, 2, 2, :empty-set
4, 10, 21, 9, 1.9583334, 2.1885909977781495, 0, 1, 3, 3, :other
4, 10, 21, 9, 2.090909, 2.520986295247645, 12, 266, 6, 8, :other
4, 10, 22, 5, 1.5555556, 1.8121673811444545, 10, 64, 13, 6, :other
4, 10, 22, 6, 1.4827586, 1.793103448275862, 0, 1, 2, 2, :empty-set
4, 10, 22, 6, 1.5714285, 1.781423416191418, 3, 8, 6, 6, :other
4, 10, 22, 6, 1.6666666, 2.1343747458109497, 0, 1, 2, 2, :empty-set
4, 10, 22, 6, 1.7407408, 1.877598793427641, 2, 6, 3, 3, :other
4, 10, 22, 7, 1.3793104, 1.9724620201482885, 0, 1, 2, 2, :empty-set
4, 10, 22, 7, 1.3928572, 2.006049524283374, 0, 1, 2, 2, :empty-set
4, 10, 22, 7, 1.5384616, 2.116433306491939, 0, 1, 2, 2, :empty-set
4, 10, 22, 7, 1.6071428, 2.0931740374418, 2, 2, 4, 4, :other
4, 10, 22, 7, 1.6296296, 2.021150170317371, 0, 1, 2, 2, :empty-set
4, 10, 22, 7, 1.6428572, 1.9312151192279678, 0, 1, 2, 2, :empty-set
4, 10, 22, 7, 1.7391304, 2.1511855438005187, 2, 7, 3, 3, :other
4, 10, 22, 7, 1.7916666, 1.9360433592481572, 1, 2, 4, 4, :other
4, 10, 22, 7, 1.8076923, 2.0384615384615383, 0, 1, 2, 2, :empty-set
4, 10, 22, 7, 1.826087, 2.1998453288127857, 1, 2, 3, 3, :other
4, 10, 22, 7, 1.8461539, 1.8121875368291918, 0, 1, 2, 2, :empty-set
4, 10, 22, 7, 1.8636364, 2.095351013021111, 0, 1, 2, 2, :empty-set
4, 10, 22, 7, 1.88, 1.8829763673503712, 8, 26, 6, 6, :other
4, 10, 22, 7, 1.9090909, 2.151301739308951, 0, 1, 2, 2, :empty-set
4, 10, 22, 7, 1.962963, 2.0990558985636674, 0, 1, 2, 2, :empty-set
4, 10, 22, 8, 1.4642857, 1.9545211846445896, 0, 1, 3, 3, :other
4, 10, 22, 8, 1.5769231, 2.1153846153846154, 0, 1, 2, 2, :empty-set
4, 10, 22, 8, 1.6538461, 2.092887363140429, 0, 1, 2, 2, :empty-set
4, 10, 22, 8, 1.68, 1.9742340286804907, 0, 1, 2, 2, :empty-set
4, 10, 22, 8, 1.76, 2.005592181875468, 4, 7, 4, 4, :other
4, 10, 22, 8, 1.8695652, 2.1529423309808604, 3, 3, 4, 4, :other
4, 10, 22, 8, 2.2083333, 2.4148700218070167, 3, 8, 4, 4, :other
4, 10, 22, 9, 1.7083334, 2.169469341157469, 0, 1, 2, 2, :empty-set
4, 10, 22, 9, 1.88, 2.320689552697646, 0, 1, 3, 3, :other
4, 10, 22, 9, 2.0, 2.296241989148198, 0, 1, 2, 2, :empty-set
4, 10, 23, 5, 1.75, 1.7243011006533302, 0, 1, 2, 2, :empty-set
4, 10, 23, 5, 1.9583334, 1.790697412245358, 0, 1, 3, 3, :other
4, 10, 23, 6, 1.4137931, 1.6921164339841788, 0, 1, 2, 2, :empty-set
4, 10, 23, 6, 1.4285715, 1.8013600304169273, 0, 1, 2, 2, :epsilon
4, 10, 23, 6, 1.4333333, 1.6058919293927874, 2, 3, 4, 3, :other
4, 10, 23, 6, 1.4642857, 1.880010312607408, 0, 1, 2, 2, :empty-set
4, 10, 23, 6, 1.4827586, 1.8122321853063326, 1, 1, 3, 2, (:* :sigma)
4, 10, 23, 6, 1.5333333, 1.9447936194419762, 5, 7, 5, 5, :other
4, 10, 23, 6, 1.6071428, 1.6331233378819539, 0, 1, 2, 2, :empty-set
4, 10, 23, 6, 1.6551725, 1.8620689655172413, 8, 85, 7, 6, :other
4, 10, 23, 6, 1.8571428, 1.940439672458018, 0, 1, 3, 3, :other
4, 10, 23, 7, 1.4642857, 2.026293993214898, 2, 8, 4, 4, :other
4, 10, 23, 7, 1.5357143, 1.880010312607408, 0, 1, 2, 2, :empty-set
4, 10, 23, 7, 1.5357143, 1.9176276798084, 0, 1, 2, 2, :empty-set
4, 10, 23, 7, 1.5357143, 1.9176276798084, 0, 1, 2, 2, :empty-set
4, 10, 23, 7, 1.5555556, 1.9309052441091963, 2, 7, 5, 3, :other
4, 10, 23, 7, 1.5769231, 1.9448764430416203, 0, 1, 2, 2, :empty-set
4, 10, 23, 7, 1.6538461, 1.9988902246440436, 0, 1, 2, 2, :empty-set
4, 10, 23, 7, 1.68, 2.034109141614579, 3, 4, 4, 4, :other
4, 10, 23, 7, 1.6896552, 2.035943368155243, 9, 268, 14, 12, :other
4, 10, 23, 7, 1.7083334, 2.091235015221601, 0, 1, 2, 2, :empty-set
4, 10, 23, 7, 1.7083334, 2.091235015221601, 0, 1, 3, 3, :other
4, 10, 23, 7, 1.72, 2.030172406471923, 4, 7, 5, 5, :other
