65,35,2,2,1,2,3,10,0
71,37,5,7,5,7,4,9,34
73,37,86,541,38,541,3,14,493
73,38,4,6,4,6,2,13,10
74,40,2,2,1,2,3,7,2
74,40,3,4,3,4,3,10,34
75,38,2,2,1,2,3,8,11
75,39,2,2,1,2,3,7,0
75,40,2,2,1,2,2,9,2
75,40,7,13,7,13,4,10,70
76,42,2,2,1,2,3,8,0
77,40,3,4,3,4,2,13,2
79,42,3,4,3,4,2,13,21
79,43,3,5,3,5,5,11,5
82,44,3,4,3,4,3,11,25
82,46,3,4,3,4,3,8,14
83,44,3,4,3,4,3,11,2
83,45,3,4,3,4,3,9,1
84,48,4,6,4,6,2,10,6
85,45,2,2,1,2,3,9,4
85,48,3,4,3,4,3,7,38
86,47,2,2,2,2,5,10,1
86,48,2,2,1,2,3,9,3
86,48,3,3,3,3,2,10,177
87,49,8,15,8,15,3,8,41
87,50,2,2,2,2,4,11,0
88,47,3,3,3,3,5,14,537
88,48,3,4,3,4,6,12,5
88,49,14,34,13,34,3,13,232
89,46,4,5,4,5,4,12,6
89,51,2,2,1,2,4,9,1
90,48,7,14,7,14,4,10,88
90,49,103,661,55,661,3,16,1089
90,50,2,2,1,2,3,9,1
90,52,2,2,1,2,2,8,7
90,52,8,20,8,20,3,12,111
91,49,3,4,3,4,3,13,95
91,49,4,5,4,5,2,12,19
91,50,2,2,1,2,3,10,1
91,50,3,3,3,3,4,8,52
91,51,9,14,9,14,3,15,190
92,49,5,8,5,8,2,14,11
92,51,12,21,10,21,3,10,13
92,52,4,7,3,7,3,14,126
92,53,6,12,6,12,2,14,22
92,54,3,4,3,4,4,11,203
93,49,2,2,1,2,2,12,1
93,49,2,2,1,2,3,8,5
93,49,3,4,3,4,4,15,1
93,50,3,4,3,4,2,13,5
93,53,7,16,7,16,3,12,277
94,51,13,48,2,48,4,15,63
94,52,10,25,7,25,4,11,25
94,53,29,97,9,97,4,12,31
95,51,7,12,7,12,4,11,26
96,54,8,23,8,23,4,9,548
96,55,2,2,1,2,4,10,0
97,49,12,31,7,31,4,14,105
97,51,10,29,6,29,4,10,190
97,52,2,2,1,2,4,10,1
97,56,9,19,9,19,3,10,236
98,53,10,17,9,17,3,9,14
98,53,4,7,4,7,2,10,78
98,54,3,4,3,4,3,9,54
98,55,2,2,1,2,3,11,3
98,56,7,16,5,16,2,15,22
98,58,3,4,3,4,3,12,14
98,58,4,5,4,5,3,9,8
99,55,2,2,1,2,3,11,2
99,55,4,5,4,5,4,14,8
99,57,12,39,11,39,4,12,167
100,53,6,10,4,10,4,11,279
100,53,7,17,5,17,4,12,281
100,56,6,12,6,12,2,11,55
101,55,3,4,3,4,4,10,4
101,56,47,185,46,185,4,13,231
101,58,2,2,1,2,2,9,1
101,58,3,4,3,4,3,13,32
101,58,5,7,4,7,3,12,120
101,60,6,12,6,12,3,11,191
102,57,2,2,1,2,3,11,15
102,59,2,2,1,2,3,10,2
102,59,9,17,8,17,4,12,331
102,61,5,7,4,7,4,10,256
103,54,4,5,4,5,4,12,53
103,55,7,12,7,12,3,11,82
103,56,2,2,1,2,3,9,4
103,57,29,143,3,143,5,12,224
103,57,4,4,4,4,3,20,7
103,58,4,5,4,5,5,10,76
103,58,6,10,5,10,3,10,32
103,59,2,2,1,2,3,12,1
103,59,3,3,3,3,4,10,199
103,59,5,7,5,7,3,12,19
103,60,3,4,3,4,3,11,1
104,55,3,4,3,4,2,12,63
104,56,10,22,10,22,3,13,46
104,58,31,95,23,95,4,9,467
104,59,4,6,4,6,4,10,20
105,56,2,2,2,2,3,12,1
105,57,3,4,3,4,3,9,6
105,59,4,7,4,7,3,12,98
105,61,5,10,5,10,3,11,168
105,62,3,4,3,4,2,11,5
106,58,5,8,4,8,5,13,99
106,61,16,47,14,47,3,11,217
107,55,3,4,3,4,2,12,24
107,57,2,2,2,2,5,13,3
107,57,3,4,3,4,3,11,27
107,62,2,2,1,2,4,12,1
107,63,3,4,3,4,2,14,5
108,57,2,2,1,2,4,10,12
108,57,6,9,6,9,4,10,8
108,58,2,2,1,2,3,12,3
108,60,4,6,4,6,4,11,66
109,58,2,2,1,2,2,14,0
109,58,6,13,6,13,3,14,163
109,60,7,12,7,12,5,13,22
109,63,3,3,2,3,4,11,36
109,63,3,4,3,4,5,16,33
110,60,12,31,12,31,3,11,33
110,60,2,2,1,2,2,12,0
110,61,2,2,1,2,3,12,1
110,64,2,2,1,2,4,8,5
