#num-states,num-transitions,type-size,probability-indeterminate,min-dfa-state-count,min-dfa-transitions-count,count-indeterminate-transitions,inhabited-dfa-language
12,31,4,0.2223566793311578,12,18,7,:indeterminate
12,32,4,0.2927897842298724,12,22,11,:indeterminate
13,13,4,0.5142175958135027,13,12,5,:indeterminate
13,14,3,0.36908306689148535,13,13,4,:indeterminate
13,15,2,0.34938833549249476,13,13,4,:indeterminate
13,15,3,0.3056072608646225,13,13,6,:indeterminate
13,16,2,0.5375145351883787,13,15,9,:indeterminate
13,16,3,0.03638953940741322,13,15,2,:satisfiable
13,16,3,0.364555353394935,13,13,2,:indeterminate
13,16,4,0.19072819376599923,13,13,2,:indeterminate
13,17,2,0.39230179074782784,13,13,7,:indeterminate
13,18,4,0.4296279548963598,13,14,8,:indeterminate
13,19,2,0.2197256685253236,13,14,1,:indeterminate
13,20,2,0.5452347290376384,13,16,6,:indeterminate
13,20,3,0.2635081384892129,13,15,2,:satisfiable
13,21,3,0.47730439215759946,13,20,16,:indeterminate
13,22,2,0.21816097086576025,13,20,6,:indeterminate
13,22,3,0.4353938769637831,13,19,10,:indeterminate
13,22,4,0.1979019828107996,13,18,4,:indeterminate
13,22,4,0.20805167706560493,13,19,4,:satisfiable
13,23,3,0.18348518617601947,13,17,3,:satisfiable
13,23,3,0.38702596887249974,13,17,7,:indeterminate
13,24,2,0.5453855385304011,13,16,8,:indeterminate
13,25,2,0.28801670800152185,13,18,8,:satisfiable
13,25,2,0.43336544013684547,13,19,3,:indeterminate
13,25,3,0.19264084984201457,13,17,7,:indeterminate
13,25,4,0.18910799026286315,13,17,3,:satisfiable
13,25,4,0.5414406443632684,13,21,13,:indeterminate
13,26,2,0.3070847499865171,13,20,8,:indeterminate
13,26,2,0.49495580217748153,13,22,11,:indeterminate
13,26,4,0.3286422538133004,13,21,7,:satisfiable
13,26,4,0.4751649408458058,13,19,14,:indeterminate
13,27,2,0.29655425589841605,13,20,7,:indeterminate
13,27,3,0.12313718223388392,13,17,1,:indeterminate
13,27,4,0.26718841888325834,13,18,5,:indeterminate
13,28,3,0.1660913389331399,13,18,1,:satisfiable
13,28,3,0.20173086208946012,13,21,5,:indeterminate
13,29,2,0.2135036066751483,13,23,9,:indeterminate
13,29,4,0.4342416266229852,13,22,8,:indeterminate
13,30,2,0.27089368747796727,13,22,10,:indeterminate
13,30,3,0.1911122298142015,13,22,3,:satisfiable
13,30,4,0.29920941270653406,13,24,9,:indeterminate
13,31,2,0.40747276312275676,13,25,11,:indeterminate
13,32,2,0.26211373242012137,13,19,3,:satisfiable
13,32,3,0.49340197577797346,13,24,17,:indeterminate
13,32,4,0.4521949090751998,13,21,8,:indeterminate
13,33,2,0.2639315220366139,13,27,9,:indeterminate
13,33,2,0.35330649237115824,13,25,11,:satisfiable
13,33,4,0.4281288416669758,13,22,15,:indeterminate
13,34,2,0.3563072681243333,13,22,9,:indeterminate
13,34,3,0.3908100967530497,13,27,11,:indeterminate
13,35,2,0.20152180836444758,13,24,6,:indeterminate
13,36,4,0.6038751421246913,13,28,17,:indeterminate
14,14,3,0.45009873410423834,14,13,4,:indeterminate
14,16,2,0.21149782755924207,14,14,2,:indeterminate
14,16,2,0.255619804463214,14,15,6,:indeterminate
14,16,2,0.27952378344998036,14,15,2,:indeterminate
14,16,2,0.39853714330926976,14,15,11,:indeterminate
14,16,2,0.47716457720084776,14,14,8,:indeterminate
14,16,2,0.6322940639343763,14,15,9,:indeterminate
14,16,4,0.1427726952291518,14,13,1,:indeterminate
14,17,4,0.30249999804054667,14,16,3,:satisfiable
14,17,4,0.3470348446033153,14,15,8,:indeterminate
14,19,2,0.14895390968110098,14,16,2,:satisfiable
14,19,2,0.3375121413654436,14,17,4,:satisfiable
14,20,2,0.5011333916232382,14,18,11,:indeterminate
14,20,2,0.5339826548702584,14,17,2,:satisfiable
14,20,3,0.321320406585026,14,16,9,:indeterminate
14,20,4,0.40854420751974674,14,17,6,:indeterminate
14,21,2,0.5053638435180442,14,20,13,:indeterminate
14,21,2,0.6305183206233366,14,20,13,:indeterminate
14,21,3,0.08705896972027516,14,17,2,:satisfiable
14,21,3,0.38690147806120107,14,17,6,:indeterminate
14,21,4,0.19866048494150165,14,17,4,:indeterminate
14,21,4,0.2120874359158956,14,18,3,:indeterminate
14,22,2,0.4157691321607761,14,21,8,:indeterminate
14,22,3,0.3720632194525475,14,16,5,:indeterminate
14,23,2,0.4601371437563809,14,18,6,:indeterminate
14,23,3,0.15502665139173435,14,19,4,:satisfiable
14,24,2,0.12431731637232586,14,19,1,:satisfiable
14,24,3,0.3895277239254568,14,16,3,:indeterminate
14,24,3,0.3901838331481698,14,21,10,:indeterminate
14,24,4,0.2730729332086525,14,20,5,:satisfiable
14,24,4,0.35268213412991023,14,20,5,:indeterminate
14,25,2,0.06797342957285135,14,19,1,:satisfiable
14,25,2,0.22102832264693062,14,19,4,:indeterminate
14,25,2,0.34320993264715766,14,22,7,:indeterminate
14,25,3,0.1844299488545933,14,19,5,:indeterminate
14,25,3,0.18786750340163438,14,19,4,:indeterminate
